country,area,locationFactor
United States,Connecticut,70
United States,Maine,63.333
United States,"Everywhere else, Massachusetts",73.561
United States,"Boston, Massachusetts",79.117
United States,New Hampshire,63.333
United States,Rhode Island,63.333
United States,Vermont,63.333
United States,New Jersey,63.333
United States,"Everywhere else, New York",63.333
United States,"NYC, New York",85.556
United States,Pennsylvania,68.889
United States,"Everywhere else, Indiana",63.333
United States,"Indianapolis, Indiana",76
United States,"Everywhere else, Michigan",63.333
United States,"Detroit, Michigan",68.889
United States,"Everywhere else, Ohio",63.333
United States,"Columbus, Ohio",68.889
United States,Wisconsin,63.333
United States,"Chicago, Illinois",74.444
United States,"Everywhere else, Illinois",63.333
United States,Iowa,68.889
United States,Nebraska,63.333
United States,Kansas,63.333
United States,North Dakota,63.333
United States,"Everywhere else, Minnesota",63.333
United States,"Minneapolis, Minnesota",68.889
United States,South Dakota,63.333
United States,Missouri,63.333
United States,Delaware,63.333
United States,Washington DC,78.889
United States,"Everywhere else, Florida",63.333
United States,"Fort Myers, Florida",68.889
United States,"Miami/Fort Lauderdale, Florida",70.811
United States,"Jacksonville, Florida",68.889
United States,"Orlando/Tampa, Florida",68.889
United States,"Everywhere else, Georgia",63.333
United States,"Atlanta, Georgia",68.889
United States,Maryland,63.333
United States,"Everywhere else, North Carolina",63.333
United States,"Charlotte, North Carolina",68.889
United States,"Raleigh, North Carolina",74.444
United States,South Carolina,63.333
United States,Virginia,63.333
United States,West Virginia,63.333
United States,Alabama,63.333
United States,Kentucky,63.333
United States,Mississippi,63.333
United States,"Everywhere else, Tennessee",63.333
United States,"Nashville, Tennessee",68.889
United States,"Everywhere else, Arkansas",63.333
United States,"Fayetteville, Arkansas",68.889
United States,Louisiana,63.333
United States,Oklahoma,63.333
United States,"Everywhere else, Texas",63.333
United States,"Dallas, Texas",80
United States,"Houston, Texas",68.889
United States,"Austin, Texas",80
United States,"San Antonio, Texas",74.444
United States,Arizona,63.333
United States,"Everywhere else, Colorado",68.889
United States,"Denver, Colorado",74.444
United States,Idaho,63.333
United States,New Mexico,63.333
United States,Montana,63.333
United States,"Salt Lake City, Utah",68.889
United States,"Everywhere else, Utah",63.333
United States,"Everywhere else, Nevada",63.333
United States,"Las Vegas, Nevada",68.889
United States,Wyoming,63.333
United States,Alaska,63.333
United States,"Everywhere else, California",74.444
United States,"Sacramento, California",74.444
United States,"San Francisco, California",100
United States,"Santa Barbara, California",74.733
United States,"Los Angeles, California",80.011
United States,"Santa Cruz, California",77.056
United States,"San Diego, California",75
United States,Hawaii,67.389
United States,"Everywhere else, Oregon",63.333
United States,"Portland, Oregon",74.444
United States,"Everywhere else, Washington",63.333
United States,"Seattle, Washington",89.983
United States,"Bellingham, Washington",74.444
Canada,Alberta,50.278
Canada,"Vancouver, British Columbia",57.367
Canada,"Everywhere else, British Columbia",50.972
Canada,Manitoba,45
Canada,New Brunswick,41.111
Canada,Newfoundland and Labrador,42.139
Canada,Northwest Territories,41.111
Canada,Nova Scotia,45.667
Canada,Nunavut,41.111
Canada,"Toronto, Ontario",54.444
