title,description,levels,salary
Accountant,/job-families/finance/accountant/,basic,93000
"Manager, Accounting",/job-families/finance/accounting-manager/,manager_basic,130200
"Manager, Accounting Operations",/job-families/finance/accounting-operations-manager/,manager_basic,130200
"Manager, Technical Accounting",/job-families/finance/technical-accounting-manager/,manager_basic,165000
General Ledger Accountant,/job-families/finance/general-ledger-accountant/,basic,93000
Account Based Marketing Manager,/job-families/marketing/account-based-marketing-manager/,field_marketing_basic,130000
"Manager, Accounting & External Reporting",/job-families/finance/accounting-and-external-reporting-manager,manager_basic,135000
Accounts Payable,/job-families/finance/accounts-payable-specialist/,basic,71000
Analyst Relations Manager,/job-families/marketing/analysts-relations-manager/,basic,129000
Awareness Campaign Manager,/job-families/marketing/awareness-campaign-manager,marketing_basic,107000
Software Engineer in Test,/job-families/engineering/software-engineer-in-test/,engineering_ic,145000
Backend Engineer,/job-families/engineering/backend-engineer/,engineering_ic,160000
Billing Specialist,/job-families/finance/billing-specialist/,basic,90000
Brand Designer,/job-families/marketing/brand-designer/,marketing_basic,110000
IT Business Systems Analyst,/job-families/finance/business-system-analyst,business_system_analyst,111000
Candidate Experience Specialist,/job-families/people-ops/candidate-experience-specialist,ces,77000
Code Contributor Program Manager,/job-families/marketing/code-contributor-program-manager/,marketing_basic,121000
Community Advocate,/job-families/marketing/community-advocate/,basic,85000
Contract Manager,/job-families/legal/contract-manager/,basic,118000
Head of Remote,/job-families/marketing/head-of-remote/,basic,95000
Database Reliability Engineer,/job-families/engineering/database-reliability-engineer/,engineering_ic,180000
Developer Evangelist,/job-families/marketing/developer-evangelist/,basic,148000
Editor,/job-families/marketing/editor/,marketing_editor,100000
Expense Specialist,/job-families/finance/expense-specialist/,basic,55000
Content Marketing,/job-families/marketing/content-marketing/,marketing_basic,108000
Corporate Development Analyst,/job-families/product/corporate-development/,basic,120000
"Engineer, Corporate Development",/job-families/product/corporate-development-engineer/,basic,160000
Corporate Events Manager,/job-families/marketing/corporate-events-manager/,marketing_basic,92000
Data Analyst,/job-families/finance/data-analyst/,basic,117000
Data Engineer,/job-families/finance/data-engineer/,basic,140000
Database Engineer,/job-families/engineering/database-engineer/,engineering_ic,124000
Deal Desk,/job-families/sales/deal-desk/,basic,100000
Designer,/job-families/marketing/designer/,basic,107000
Digital Production Manager,/job-families/marketing/digital-production-manager/,marketing_basic,106000
Production Designer,/job-families/marketing/production-designer/,marketing_basic,95000
Diversity and Inclusion,/job-families/people-ops/diversity-inclusion-partner/,people_generalist,120000
Education Program Manager,/job-families/marketing/education-program-manager/,marketing_basic,122000
Talent Brand Manager,/job-families/people-ops/employment-branding-specialist/,basic,104000
"Manger, Quality Engineering",/job-families/engineering/engineering-management-quality/,manager_only,203000
Executive Business Administrator,/job-families/people-ops/executive-business-administrator/,basic,97000
Evangelist Program Manager,/job-families/marketing/evangelist-program-manager/,marketing_basic,122000
Facility Security Officer,/job-families/engineering/facility-security-officer/,engineering_ic,160000
Field Marketing Manager,/job-families/marketing/field-marketing-manager/,field_marketing_basic,130000
"Field Marketing Manager, Public Sector",/job-families/marketing/field-marketing-manager-public-sector/,field_marketing_basic,136500
Financial Analyst,/job-families/finance/financial-analyst/,basic,95000
"Finance Business Partner, Non-Sales",/job-families/finance/finance-business-partner/,basic,121000
"Finance Business Partner, Sales",/job-families/finance/finance-business-partner-sales/,basic,140000
Financial Planning and Analysis,/job-families/finance/finance-planning-and-analysis/,basic,124000
Frontend Engineer,/job-families/engineering/frontend-engineer/,engineering_ic,131000
"Manager, Frontend Engineering",/job-families/engineering/frontend-engineering-manager/,manager_only,183400
Fullstack Engineer,/job-families/engineering/fullstack-engineer/,engineering_ic,160000
People Ops Fullstack Engineer,/job-families/people-ops/people-ops-fullstack-engineer/,basic,160000
"Manager, Growth Engineering",/job-families/engineering/engineering-management-growth/,manager_only,224000
Global Compliance Manager,/job-families/legal/global-compliance-manager/,basic,111000
Global Programs Manager,/job-families/marketing/global-programs-manager/,marketing_basic,130000
Illustrator,/job-families/marketing/illustrator/,basic,103000
"Manager, Internal Audit",/job-families/finance/internal-audit-manager/,manager_basic,140000
Internal Auditor,/job-families/finance/senior-internal-auditor/,ic_basic,100000
Internal Strategy Consultant,/job-families/chief-executive-officer/internal-strategy-consultant/,manager_only,163800
IT Operations System Engineer,/job-families/finance/it-operations-system-engineer/,basic,109000
"Manager, IT",/job-families/finance/manager-it/,manager_basic,140000
IT Helpdesk Analyst,/job-families/finance/it-helpdesk-analyst/,basic,88000
Learning and Development,/job-families/people-ops/learning-development-specialist/,people_generalist,120000
"Manager, Recruiting Operations",/job-families/people-ops/manager-recruiting-operations/,manager_basic,135000
Marketing Operations Manager,/job-families/marketing/marketing-operations-manager/,marketing_basic,110000
Marketing Program Manager,/job-families/marketing/marketing-program-manager/,marketing_basic,117000
Marketing Web Developer/Designer,/job-families/marketing/marketing-web-developer-designer/,basic,120000
Online Growth Manager,/job-families/marketing/digital-marketing-programs-manager/,marketing_basic,132000
Open Source Program Manager,/job-families/marketing/open-source-program-manager/,marketing_basic,122000
Operations Analyst,/job-families/engineering/operations-analyst/,engineering_ic,102000
Paralegal,/job-families/legal/paralegal/,basic,95000
Payroll,/job-families/finance/payroll-specialist/,payroll_basic,72000
"Manager, Payroll",/job-families/finance/payroll-and-payments-lead/,manager_basic,130000
People Operations Analyst,/job-families/people-ops/people-ops-analyst/,basic,103000
People Operations Business Partner,/job-families/people-ops/people-business-partner/,basic,130000
People Operations Specialist,/job-families/people-ops/people-ops-specialist/,people_specialist,100000
People Experience Associate,/job-families/people-ops/people-experience-associate/,people_experience,76800
Public Relations,/job-families/marketing/pr-manager/,marketing_basic,95000
"Manager, Procurement",/job-families/finance/procurement-manager/,manager_basic,155000
Product Manager,/job-families/product/product-manager/,product_manager,178000
Product Operations,/job-families/product/product-operations/,basic,139000
Product Marketing Manager,/job-families/marketing/product-marketing-manager/,product_marketing,148000
"Product Marketing Manager, Public Sector",/job-families/marketing/product-marketing-manager-public-sector/,product_marketing,155400
"Manager, Product Marketing",/job-families/marketing/product-marketing-management/,manager_only,207200
Professional Services Project Manager,/job-families/sales/professional-services-project-manager/,basic,116000
"Program Manager, Sales and Customer Enablement",/job-families/sales/program-manager-sales-and-customer-enablement/,basic,120000
"Instructional Designer, Sales and Customer Enablement",/job-families/sales/instructional-designer-sales-and-customer-enablement/,basic,120000
Recruiter,/job-families/people-ops/recruiter/,recruiting_basic,109000
Executive Recruiter,/job-families/people-ops/executive-recruiter/,executive_recruiter,134000
Recruiting Sourcer,/job-families/people-ops/recruiting-sourcer/,recruiting_basic,105000
Reference Program Manager,/job-families/marketing/reference-program-manager/,basic,117000
Revenue Manager,/job-families/finance/revenue-manager/,basic,115000
Business Systems Administrator,/job-families/sales/business-systems-administrator/,basic,110000
Business Systems Engineer,/job-families/sales/business-systems-engineer/,basic,150000
Sales Analytics Analyst,/job-families/sales/sales-analytics-analyst-jf/,basic,112000
"Manager, Sales Commissions",/job-families/sales/sales-commissions-manager/,manager_basic,150000
Sales Communications Manager,/job-families/sales/sales-communications-manager/,basic,109000
"Manager, Sales Systems",/job-families/sales/senior-manager-sales-systems/,manager_basic,154000
Sales Training Facilitator,/job-families/sales/sales-training-facilitator-sales-and-customer-enablement/,basic,120000
Sales Operations,/job-families/sales/sales-operations/,basic,115000
Security Engineer,/job-families/engineering/security-engineer/,engineering_ic,162000
"Manager, Security",/job-families/engineering/security-management/,manager_only,226800
Security Analyst,/job-families/engineering/security-analyst/,engineering_ic,118000
Solutions Manager,/job-families/sales/sr-solutions-manager/,product_manager,178000
Vulnerability Research Engineer,/job-families/engineering/vulnerability-research-engineer/,engineering_ic,175000
Site Reliability Engineer,/job-families/engineering/site-reliability-engineer/,ic_basic,180000
"Engineering Management, Infrastructure",/job-families/engineering/engineering-management/infrastructure/,eng_manager_basic,252000
Social Marketing Manager,/job-families/marketing/social-marketing-manager/,marketing_basic,92004
SOX Compliance Analyst,/job-families/finance/sox-compliance-analyst/,basic,109000
Stock Administrator,/job-families/finance/stock-administrator/,basic,114000
Support Engineer,/job-families/engineering/support-engineer/,support_ic,120000
Support Engineering Manager,/job-families/engineering/support-management/,manager_basic,168000
Support Operations Specialist,/job-families/engineering/support-operations-specialist/,engineering_ic,80000
Talent Operations Specialist,/job-families/people-ops/talent-operations-specialist/,basic,89000
Technical Marketing Manager,/job-families/marketing/technical-marketing-manager,product_marketing,162800
Technical Writer,/job-families/engineering/technical-writer/,engineering_ic,115000
"Manager, Technical Writing",/job-families/engineering/technical-writing-manager/,manager_only,161000
Technology Partner Manager,/job-families/alliances/alliances-manager/,basic,126000
Threat Intelligence Engineer,/job-families/engineering/threat-intelligence-engineer/,engineering_ic,166000
Product Designer,/job-families/engineering/product-designer/,engineering_ic,145000
"Manager, UX",/job-families/engineering/ux-management/,manager_only,203000
UX Researcher,/job-families/engineering/ux-researcher/,ux_researcher_basic,145000
Web Content Manager,/job-families/people-ops/web-content-manager/,basic,118000
Website Full Stack Developer,/job-families/marketing/marketing-full-stack-developer/,basic,125000
